lsoa11cd,nonwhiteZoneProp.lsoa,pstaniZoneProp.lsoa,nonUKZoneProp.lsoa,proportionMuslim,proportionNonMuslim,antiSocialBehaviour,Burglary,violentCrime,allCrimePer1000Pop,IMD_rank,IMD_rank_inverse,IMD_rank_inverse_relative
E01007740,3.19634703196347,0.45662100456621,3.65296803652968,1.2393998695368558,93.59438270009478,76.97325505544683,14.350945857795171,13.698630136986301,138.94324853228963,3323,29521,134
E01007741,2.55402750491159,1.04780615586117,2.42305173542895,1.5062213490504257,93.32756122058122,34.70857891290111,7.858546168958742,3.2743942370661427,84.47937131630648,20787,12057,40
E01007742,3.1667839549613,0.91484869809993,2.25193525686137,0.7037297677691766,94.13005280186246,66.15059817030262,8.44475721323012,5.629838142153413,108.37438423645321,10666,22178,87
E01007743,0.768049155145929,0,1.84331797235023,0.38402457757296465,94.44975799205868,74.50076804915514,5.376344086021506,3.0721966205837172,119.04761904761904,22863,9981,28
E01007744,3.34190231362468,1.15681233933162,3.14910025706941,1.4138817480719794,93.41990082155965,102.82776349614396,12.853470437017995,11.568123393316196,181.23393316195373,9179,23665,98
E01007745,4.06189555125725,0.709219858156028,3.54609929078014,1.2250161186331399,93.6087664509985,148.93617021276594,5.157962604771115,16.118633139909736,236.62153449387492,6401,26443,116
E01007746,1.88067444876783,0,2.91828793774319,0.5836575875486382,94.250124982083,55.77172503242542,4.539559014267186,4.539559014267186,86.25162127107653,14093,18751,71
E01007747,1.38996138996139,0.386100386100386,1.77606177606178,0.4633204633204633,94.37046210631118,76.44787644787644,13.899613899613898,4.633204633204633,132.81853281853282,8874,23970,100
E01007748,1.31578947368421,0.415512465373961,2.49307479224377,0.3462603878116343,94.48752218182,40.85872576177285,2.770083102493075,0.6925207756232687,74.79224376731301,20843,12001,39
E01007749,1.16407982261641,0.0554323725055432,2.4390243902439,0,94.83378256963164,37.6940133037694,2.771618625277162,0.5543237250554324,53.21507760532151,26488,6356,13
E01007750,1.2491781722551,0.0657462195923734,2.9585798816568,0.26298487836949375,94.57079769126214,40.10519395134779,8.547008547008549,2.629848783694938,84.155161078238,19310,13534,49
E01007751,3.92456676860347,0.560652395514781,4.94393476044852,1.2232415902140672,93.61054097941756,85.62691131498471,14.780835881753314,3.567787971457696,168.70540265035677,15684,17160,65
E01007752,1.61398789509079,0,2.15198386012105,0.13449899125756556,94.69928357837408,31.60726294552791,9.41492938802959,2.017484868863484,61.869535978480165,29320,3524,5
E01007753,1.29449838187702,0.129449838187702,2.58899676375405,0.1941747572815534,94.63960781235008,47.249190938511326,7.766990291262136,3.236245954692557,95.14563106796116,16085,16759,63
E01007754,2.27111426543648,0.7097232079489,2.69694819020582,0.7097232079488999,94.12405936168274,24.8403122782115,5.6777856635912,1.4194464158978,41.8736692689851,19734,13110,46
E01007755,0.649350649350649,0,1.01010101010101,0.36075036075036077,94.47303220888128,31.746031746031743,1.443001443001443,1.443001443001443,45.45454545454545,22242,10602,33
